[2026-08-21T02:54:11.819Z] GET http://127.0.0.1:8787/ai-agent-dev-team-presentation.html → 404 (21ms, 26B)
[2026-08-21T02:54:34.736Z] GET http://127.0.0.1:58692/ai-agent-dev-team-presentation.html → 200 (1ms, 27762B)
[2026-08-21T02:54:34.776Z] GET https://esm.sh/@chenglou/pretext → 200 (551ms, 459B)
[2026-08-21T02:54:35.328Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/analysis.mjs → pending (?ms, ?B)
[2026-08-21T02:54:35.328Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-break.mjs → pending (?ms, ?B)
[2026-08-21T02:54:35.328Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-text.mjs → pending (?ms, ?B)
[2026-08-21T02:54:35.328Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/measurement.mjs → pending (?ms, ?B)
[2026-08-21T02:54:35.328Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/pretext.mjs → pending (?ms, ?B)
[2026-08-21T02:54:45.246Z] GET http://127.0.0.1:58692/enterprise-ai-presentation.html → 200 (1ms, 28154B)
[2026-08-21T02:54:45.268Z] GET https://esm.sh/@chenglou/pretext → 200 (?ms, -531B)
[2026-08-21T02:54:45.269Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/analysis.mjs → 200 (?ms, -355B)
[2026-08-21T02:54:45.269Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-break.mjs → 200 (?ms, -355B)
[2026-08-21T02:54:45.269Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-text.mjs → 200 (?ms, -332B)
[2026-08-21T02:54:45.269Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/measurement.mjs → 200 (?ms, -399B)
[2026-08-21T02:54:45.269Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/pretext.mjs → 200 (1ms, -355B)
[2026-08-21T02:55:06.206Z] GET http://127.0.0.1:58692/ai-agent-dev-team-presentation.html → 200 (2ms, ?B)
[2026-08-21T02:55:06.217Z] GET https://esm.sh/@chenglou/pretext → 200 (?ms, -531B)
[2026-08-21T02:55:06.218Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/analysis.mjs → 200 (?ms, -355B)
[2026-08-21T02:55:06.219Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-break.mjs → 200 (?ms, -355B)
[2026-08-21T02:55:06.219Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-text.mjs → 200 (?ms, -332B)
[2026-08-21T02:55:06.219Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/measurement.mjs → 200 (?ms, -399B)
[2026-08-21T02:55:06.219Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/pretext.mjs → 200 (?ms, -355B)
[2026-08-21T02:55:06.964Z] GET http://127.0.0.1:58692/enterprise-ai-presentation.html → 200 (1ms, ?B)
[2026-08-21T02:55:06.975Z] GET https://esm.sh/@chenglou/pretext → 200 (?ms, -531B)
[2026-08-21T02:55:06.977Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/analysis.mjs → 200 (?ms, -355B)
[2026-08-21T02:55:06.977Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-break.mjs → 200 (?ms, -355B)
[2026-08-21T02:55:06.978Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-text.mjs → 200 (?ms, -332B)
[2026-08-21T02:55:06.978Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/measurement.mjs → 200 (?ms, -399B)
[2026-08-21T02:55:06.978Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/pretext.mjs → 200 (?ms, -355B)
[2026-08-21T02:56:13.098Z] GET http://127.0.0.1:58692/ai-agent-dev-team-presentation.html → 200 (2ms, 27762B)
[2026-08-21T02:56:13.110Z] GET https://esm.sh/@chenglou/pretext → 200 (?ms, -531B)
[2026-08-21T02:56:13.111Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/analysis.mjs → 200 (?ms, -355B)
[2026-08-21T02:56:13.111Z] GET https://esm.sh/@chenglou/pretext@0.0.8/es2022/dist/line-break.mjs → 200 (?ms, -355B)
